公司,名称,地址,学历,福利,经验,职位类型,薪资
 南京品意品牌策划管理有限公司 ,会计, 铁心桥 ,大专,"饭补,加班补助,五险一金,周末双休",1-2年,会计/会计师,5000-8000
 南京台达电系统工程有限公司 ,会计, 铁心桥 ,不限,周末双休,不限,会计/会计师,3000-5000
 南京市秦淮区义之和烟酒店 ,会计, 铁心桥 ,不限,,不限,会计/会计师,3000-5000
 南京市江宁区杨尚睿财务管理工… ,会计, 铁心桥 ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京博赞源教育科技有限公司仙… ,财务, 铁心桥 ,不限,"求职保障,五险一金",3-5年,会计/会计师,5000-7000
 上海博九新能源技术有限公司 ,会计, 铁心桥 ,大专,"话补,交通补助,饭补",不限,会计/会计师,3000-5000
 南京市下关区李广林酒业经营部 ,会计, 铁心桥 ,不限,五险一金,不限,会计/会计师,面议
 南京云阔商贸有限公司 ,会计, 铁心桥 ,不限,,不限,会计/会计师,3000-5000
 义乌市享到商贸有限公司 ,会计, 铁心桥 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 南京鑫明置业有限公司 ,会计, 铁心桥 ,不限,"包吃,周末双休",1-2年,会计/会计师,面议
 南京奥窗建材有限公司 ,会计, 铁心桥 ,大专,,1-2年,会计/会计师,3000-5000
 南京达得拉汽车销售服务有限公司 ,会计, 铁心桥 ,大专,"五险一金,包吃,周末双休",3-5年,会计/会计师,面议
 南京东鑫物业管理有限公司 ,现金会计, 铁心桥 ,不限,,6-7年,会计/会计师,面议
 南京市秦淮区淘淘坊电子商务中心 ,会计, 铁心桥 ,不限,"五险一金,加班补助",不限,会计/会计师,4000-6000
 南京嘉悦大酒店有限公司 ,直招酒店会计, 铁心桥 ,本科,"包吃,包住",3-5年,会计/会计师,4000-6000
 南京乐孚国际贸易有限公司 ,会计, 秣陵 ,不限,,3-5年,会计/会计师,面议
 企途新（南京）科技有限公司 ,会计财务, 秣陵 ,大专,"五险一金,包吃,包住,周末双休,年底双薪",1-2年,会计/会计师,6000-8000
 徐州久翔电动车科技有限公司 ,会计, 秣陵 ,不限,五险一金,不限,会计/会计师,3000-5000
 南京奎将机电科技有限公司 ,会计五险一金周末双休, 秣陵 ,大专,"年底双薪,周末双休,加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京奎将机电科技有限公司 ,总账会计, 秣陵 ,大专,"年底双薪,周末双休,加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京爱源财务管理有限公司 ,会计, 秣陵 ,不限,五险一金,3-5年,会计/会计师,面议
 南京盛飞食品商贸有限公司 ,会计, 秣陵 ,大专,"五险一金,话补,交通补助,饭补",1-2年,会计/会计师,5000-5500
 江苏绿禾农林科技有限公司 ,会计, 秣陵 ,大专,"周末双休,交通补助,话补,饭补,加班补助",3-5年,会计/会计师,5000-6000
 南京奎将机电科技有限公司 ,主办会计, 秣陵 ,大专,"年底双薪,周末双休,加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京超盛新型环保建材有限公司 ,主办会计一名和统计一名, 秣陵 ,大专,,不限,会计/会计师,面议
 南京鑫怡通财务咨询有限公司 ,会计销售, 秣陵 ,不限,,不限,会计/会计师,面议
 南京弘誉广告有限公司 ,总账会计, 秣陵 ,不限,包吃,1-2年,会计/会计师,4500-6000
 南京诚品财务咨询有限公司 ,总账会计, 秣陵 ,大专,"五险一金,周末双休,年底双薪,交通补助,饭补",6-7年,会计/会计师,面议
 南京力木建设工程有限公司 ,会计/会计师, 秣陵 ,大专,"五险一金,周末双休,年底双薪",3-5年,会计/会计师,5000-8000
 南京力木建设工程有限公司 ,会计, 秣陵 ,不限,,不限,会计/会计师,面议
 南京国际装饰安装工程有限公司 ,会计, 秣陵 ,本科,五险一金,3-5年,会计/会计师,面议
 南京亮点财税管理咨询有限公司 ,实习会计会计, 秣陵 ,不限,"周末双休,五险一金,包吃,年底双薪,交通补助",不限,会计/会计师,3000-5000
 南京亮点财税管理咨询有限公司 ,实习会计, 秣陵 ,不限,"周末双休,五险一金,包吃,年底双薪,交通补助",不限,会计/会计师,面议
 江苏赛坤物流有限公司 ,会计, 秣陵 ,大专,"周末双休,五险一金,饭补",3-5年,会计/会计师,3000-4000
 江苏正士源建筑工程有限公司 ,会计有工程经验优先, 秣陵 ,不限,"周末双休,交通补助,饭补,话补",不限,会计/会计师,面议
 酒不醉（南京）网络科技有限公司 ,招会计, 秣陵 ,不限,"五险一金,包吃,交通补助",1-2年,会计/会计师,面议
 南京迈锐肯贸易有限公司 ,会计, 秣陵 ,本科,"五险一金,周末双休,加班补助,交通补助,饭补",1-2年,会计/会计师,2500-3000
 南京垦业科贸有限公司 ,会计, 秣陵 ,不限,周末双休,不限,会计/会计师,面议
 南京乐孚国际贸易有限公司 ,会计, 秣陵 ,不限,,3-5年,会计/会计师,面议
 南京超通汽配有限公司 ,财务, 秣陵 ,不限,,不限,会计/会计师,4000-5000
 南京日峰企业服务有限公司 ,摄山新城附近一成本会计岗, 秣陵 ,大专,"包吃,包住,年底双薪,饭补,加班补助",3-5年,会计/会计师,6000-6500
 南京中联广阔建设工程有限公司 ,会计, 秣陵 ,大专,,3-5年,会计/会计师,4000-6000
 南京市雨花台区盛中建材经营部 ,文员会计, 秣陵 ,本科,周末双休,3-5年,会计/会计师,5000-8000
 南京铿利建筑安装工程有限公司 ,会计, 秣陵 ,不限,,3-5年,会计/会计师,3000-5000
 来安香江置业有限公司 ,会计, 秣陵 ,不限,"包吃,包住,五险一金,加班补助,饭补",不限,会计/会计师,5500-8000
 南京丝享家服饰有限公司 ,会计/会计师, 秣陵 ,大专,"五险一金,周末双休",1-2年,会计/会计师,3000-5000
 南京金月唐装饰材料有限公司 ,公司会计, 秣陵 ,不限,"五险一金,周末双休,加班补助",不限,会计/会计师,4000-5000
 南京信运通物流有限公司 ,会计, 秣陵 ,本科,"五险一金,包吃,周末双休",3-5年,会计/会计师,面议
 南京新迪舒建材有限公司 ,会计, 秣陵 ,技校,"包吃,包住,加班补助",不限,会计/会计师,3000-5000
 南京旭合环保设备有限公司 ,会计/会计师, 秣陵 ,不限,"五险一金,包吃,包住,加班补助",不限,会计/会计师,面议
 南京和涛塑胶有限公司 ,会计, 淳化 ,不限,"五险一金,包吃,话补,加班补助",不限,会计/会计师,5000-6000
 上海烁原企业管理咨询中心（有… ,会计, 淳化 ,本科,,1-2年,会计/会计师,面议
 南京迪欧家具有限公司 ,会计, 淳化 ,不限,"五险一金,周末双休,年底双薪,饭补",不限,会计/会计师,3000-5000
 南京市秦淮区银百祥饰品店 ,会计, 淳化 ,技校,,不限,会计/会计师,3000-5000
 南京瑞翔新材料科技有限公司 ,会计/会计师, 淳化 ,不限,"五险一金,包吃,话补,饭补",8-10年,会计/会计师,面议
 马鞍山市旭轩商贸有限公司 ,会计, 淳化 ,不限,,不限,会计/会计师,面议
 南京江顺装饰工程有限公司 ,会计, 淳化 ,大专,"五险一金,包吃,话补",3-5年,会计/会计师,4000-6000
 南京华寅广告工程有限公司 ,会计, 淳化 ,大专,五险一金,不限,会计/会计师,4000-5500
 南京天地源食品有限公司 ,会计, 淳化 ,大专,,1-2年,会计/会计师,4000-5000
 南京国粹企业管理有限公司 ,会计/会计师, 淳化 ,不限,,不限,会计/会计师,面议
 南京雅克优点商贸有限公司 ,会计, 淳化 ,不限,"五险一金,年底双薪,加班补助",3-5年,会计/会计师,4000-8000
 南京顼骏贸易有限公司 ,会计, 淳化 ,不限,"五险一金,包吃,周末双休,年底双薪",3-5年,会计/会计师,面议
 南京亿航家具有限公司 ,会计, 淳化 ,不限,"包吃,包住",1-2年,会计/会计师,面议
 南京恒业汽车维修有限公司 ,急招会计, 淳化 ,不限,"五险一金,包吃,包住,加班补助,交通补助",不限,会计/会计师,3000-6000
 南京恩贝康医疗器械有限公司 ,会计, 淳化 ,不限,"五险一金,周末双休,饭补,加班补助",1-2年,会计/会计师,3000-5000
 江苏菲利科斯建设工程有限公司 ,会计/会计师, 淳化 ,大专,五险一金,3-5年,会计/会计师,面议
 南京市浦口区暖春科技信息咨询… ,实习会计, 淳化 ,不限,周末双休,不限,会计/会计师,面议
 南京留巷伊商贸有限公司 ,会计, 淳化 ,大专,"五险一金,年底双薪,加班补助",3-5年,会计/会计师,4000-5000
 江苏量伟建设工程有限公司 ,会计, 淳化 ,本科,周末双休,3-5年,会计/会计师,3000-5000
 北京市永昌房地产经纪有限公司… ,会计/会计师, 淳化 ,大专,包住,1-2年,会计/会计师,5000-6000
 南京惠悦财务咨询有限公司 ,会计助理, 淳化 ,大专,"周末双休,年底双薪,话补,交通补助,饭补",不限,会计/会计师,面议
 南京茅五兴晟电子商务有限公司 ,会计, 淳化 ,不限,年底双薪,不限,会计/会计师,面议
 南京华邺旅游有限公司 ,总账会计, 淳化 ,不限,,不限,会计/会计师,3000-4000
 南京万禾市政园林工程有限公司 ,会计, 淳化 ,大专,"五险一金,年底双薪,包住,包吃",3-5年,会计/会计师,6000-8000
 南京市江宁区松竹梅酒店 ,会计, 淳化 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 南京市江宁区松竹梅酒店 ,谷里街道招聘酒店会计, 淳化 ,不限,"包吃,包住",1-2年,会计/会计师,3000-5000
 江苏威风出行汽车租赁有限公司 ,总账会计, 淳化 ,大专,"五险一金,包吃,周末双休",3-5年,会计/会计师,5000-7000
 南京醉花亭餐饮文化有限公司 ,会计, 淳化 ,大专,,不限,会计/会计师,面议
 南京叠才财务管理有限公司 ,会计/会计师, 淳化 ,不限,"五险一金,周末双休,年底双薪,交通补助",不限,会计/会计师,3000-5000
 南京市秦淮区锦亦翔石材厂 ,石材会计, 淳化 ,不限,包吃,不限,会计/会计师,面议
 南京金勉智能系统工程有限公司 ,会计, 淳化 ,不限,"话补,饭补,五险一金,周末双休",不限,会计/会计师,面议
 南京鑫掌柜财务管理有限公司 ,实习会计江宁万达, 淳化 ,不限,"五险一金,周末双休,加班补助",不限,会计/会计师,面议
 南京骏汉物资实业有限公司 ,会计, 淳化 ,不限,,不限,会计/会计师,3000-5000
 南京贝蒙电力科技有限公司 ,会计, 淳化 ,本科,"五险一金,周末双休,年底双薪",3-5年,会计/会计师,面议
 南京车乐宝汽车用品有限公司 ,会计/会计师, 淳化 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 南京市浦口区成静餐厅 ,会计/出纳, 江浦街道 ,不限,"五险一金,加班补助,包吃",不限,会计/会计师,面议
 南京雅高风光旅游有限公司 ,急招会计, 江浦街道 ,大专,"五险一金,年底双薪,周末双休,交通补助,加班补助",3-5年,会计/会计师,5000-6000
 南京吉迈财务管理有限公司 ,总账会计, 江浦街道 ,不限,"周末双休,交通补助,饭补,话补,五险一金",3-5年,会计/会计师,3000-5000
 南京春竹和电子科技有限公司 ,会计, 江浦街道 ,大专,"包住,年底双薪",3-5年,会计/会计师,面议
 南京欣能电气有限公司 ,会计, 江浦街道 ,大专,"五险一金,周末双休,年底双薪,交通补助,饭补",1-2年,会计/会计师,4500-7000
 南京步全贸易有限公司 ,招聘会计2年经验, 江浦街道 ,不限,"包吃,包住,年底双薪,周末双休,交通补助",不限,会计/会计师,面议
 南京爱多多妇幼保健有限责任公司 ,会计兼出纳, 江浦街道 ,中专,"加班补助,包住",3-5年,会计/会计师,3500-5000
 南京凯美特食品有限公司 ,餐饮往来核算会计, 江浦街道 ,大专,"五险一金,年底双薪",1-2年,会计/会计师,4500-5500
 江苏钢协冶金科技有限公司 ,会计, 江浦街道 ,不限,"五险一金,周末双休,年底双薪,话补,饭补",3-5年,会计/会计师,3000-5000
 南京祥天财务管理有限公司 ,会计, 江浦街道 ,大专,"五险一金,周末双休,饭补",3-5年,会计/会计师,3000-5000
 马鞍山岳峰科技有限公司 ,出纳会计, 江浦街道 ,大专,"加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京鑫掌柜财务管理有限公司 ,实习会计, 江浦街道 ,不限,"五险一金,周末双休,加班补助",不限,会计/会计师,面议
 南京博澳石业有限公司 ,会计, 江浦街道 ,不限,"五险一金,包吃,包住",1-2年,会计/会计师,3500-4500
 南京悟净财务咨询管理有限公司 ,会计, 江浦街道 ,大专,"周末双休,交通补助,加班补助,饭补",3-5年,会计/会计师,面议
 南京天依蓝投资管理有限公司 ,会计, 江浦街道 ,不限,,不限,会计/会计师,面议
 南京武钢钢结构制造有限公司 ,会计, 江浦街道 ,不限,,不限,会计/会计师,3000-5000
 江苏极兔供应链有限公司 ,结算会计, 江浦街道 ,大专,"五险一金,包住,房补,加班补助",1-2年,会计/会计师,5000-6000
 南京中普钢铁销售有限公司 ,会计, 江浦街道 ,本科,"五险一金,周末双休,交通补助,饭补",6-7年,会计/会计师,面议
 南京城市人家装饰工程有限公司 ,急聘财务会计, 江浦街道 ,大专,五险一金,3-5年,会计/会计师,4500-5000
 南京市花润农产品有限公司 ,会计, 江浦街道 ,中专,包吃,1-2年,会计/会计师,5000-6000
 江苏大唐电气科技有限公司 ,会计4k单休2年经验, 江浦街道 ,大专,五险一金,3-5年,会计/会计师,3500-5000
 南京阔力缇装饰材料有限公司 ,会计, 江浦街道 ,不限,饭补,不限,会计/会计师,3000-5000
 南京七彩机械有限公司 ,会计, 江浦街道 ,大专,"五险一金,饭补",不限,会计/会计师,3000-5000
 南京市江宁区蓝天劳保用品销售… ,东山会计师, 江浦街道 ,本科,"包吃,包住,年底双薪,交通补助,饭补",3-5年,会计/会计师,面议
 南京翔泽财务管理有限公司 ,总账会计, 江浦街道 ,不限,"五险一金,周末双休",8-10年,会计/会计师,4500-7000
 南京君达东宫酒店有限责任公司 ,总账会计, 江浦街道 ,本科,五险一金,10年以上,会计/会计师,面议
 南京小亦清酌投资有限公司 ,会计, 江浦街道 ,不限,"包吃,加班补助",不限,会计/会计师,4000-6000
 南京华霸电气设备有限公司 ,会计, 江浦街道 ,不限,"包吃,包住,加班补助",1-2年,会计/会计师,3000-5000
 南京乐鹏财务顾问有限公司 ,会计, 江浦街道 ,大专,"五险一金,周末双休,交通补助,饭补,加班补助",3-5年,会计/会计师,3500-5000
 南京沐鼎节能建材有限公司 ,主办会计, 江浦街道 ,大专,,3-5年,会计/会计师,面议
 南京龙之啸财务咨询有限公司 ,会计, 江浦街道 ,不限,"五险一金,周末双休,交通补助,加班补助,话补",6-7年,会计/会计师,5000-8000
 南京怡咖电气科技有限公司 ,会计, 江浦街道 ,大专,"五险一金,包吃,包住,周末双休,加班补助",3-5年,会计/会计师,面议
 南京鑫怡通财务咨询有限公司 ,会计, 江浦街道 ,不限,"五险一金,周末双休,年底双薪,话补,交通补助",不限,会计/会计师,面议
 南京火晟厨卫科技有限公司 ,总账会计, 江浦街道 ,大专,周末双休,1-2年,会计/会计师,4000-6000
 南京中天企业管理有限公司 ,会计, 江浦街道 ,不限,"五险一金,周末双休,年底双薪",不限,会计/会计师,3000-4000
 南京柯木达建筑劳务有限公司 ,建筑劳务做账会计/会计师, 九龙湖 ,大专,"五险一金,饭补,周末双休,包吃",3-5年,会计/会计师,4000-8000
 南京一二三会计服务有限公司 ,总账会计, 九龙湖 ,大专,"五险一金,周末双休",1-2年,会计/会计师,5000-8000
 南京市浦口区顺超建材经营部 ,会计, 九龙湖 ,不限,,不限,会计/会计师,面议
 南京丝享家服饰有限公司 ,会计, 九龙湖 ,大专,"包吃,周末双休,年底双薪",1-2年,会计/会计师,4000-6000
 南京开泽工程技术有限公司 ,会计, 九龙湖 ,大专,"周末双休,话补,交通补助",1-2年,会计/会计师,3000-5000
 南京我爱我家房屋租赁置换有限… ,专职会计, 九龙湖 ,大专,"五险一金,包吃,周末双休,年底双薪,话补",3-5年,会计/会计师,面议
 南京梦依雨塑料制品有限公司 ,会计, 九龙湖 ,不限,"五险一金,包吃,包住",3-5年,会计/会计师,3000-4000
 南京永信财务咨询有限公司 ,总账会计, 九龙湖 ,不限,"五险一金,周末双休,交通补助,加班补助,饭补",不限,会计/会计师,6000-8000
 南京唐模电气科技有限公司 ,招聘会计1名, 九龙湖 ,大专,周末双休,3-5年,会计/会计师,4000-6000
 南京富名祥财务顾问有限公司 ,会计高薪年假五险, 九龙湖 ,大专,"加班补助,交通补助,五险一金,年底双薪",1-2年,会计/会计师,4000-8000
 南京达喜建筑装饰工程有限公司 ,会计, 九龙湖 ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京鑫掌柜财务管理有限公司 ,会计, 九龙湖 ,不限,"五险一金,周末双休,加班补助",不限,会计/会计师,面议
 广州财捷财务咨询有限公司 ,代帐公司初级会计, 九龙湖 ,不限,"五险一金,周末双休,交通补助,话补",不限,会计/会计师,3000-4000
 南京众望投资咨询有限公司 ,会计, 九龙湖 ,大专,"五险一金,年底双薪,交通补助,周末双休,加班补助",1年以下,会计/会计师,3000-5000
 南京市浦口区胡桂平烟酒店 ,会计, 九龙湖 ,不限,,不限,会计/会计师,面议
 南京珍好生物科技有限公司 ,会计, 九龙湖 ,大专,,1-2年,会计/会计师,面议
 南京翰新霖通信科技有限公司 ,会计出纳, 九龙湖 ,大专,加班补助,不限,会计/会计师,3000-4500
 南京市花润农产品有限公司 ,诚聘开票会计工作轻松, 九龙湖 ,中专,,1-2年,会计/会计师,5000-6000
 南京慧算账财务咨询有限公司高… ,高新诚聘会计主管, 九龙湖 ,本科,"五险一金,周末双休,年底双薪,加班补助,饭补",3-5年,会计/会计师,5000-10000
 南京瑞铭信会计服务有限公司 ,总账会计, 九龙湖 ,大专,周末双休,3-5年,会计/会计师,4000-6000
 南京派昂财务咨询有限公司 ,诚招会计, 九龙湖 ,本科,"五险一金,周末双休,交通补助,饭补,加班补助",6-7年,会计/会计师,5000-6000
 南京文青建设有限公司 ,会计, 九龙湖 ,不限,,不限,会计/会计师,面议
 南京炫之客服饰有限公司 ,会计, 九龙湖 ,本科,"五险一金,包吃,包住",不限,会计/会计师,3000-5000
 优丽雅（江苏）新材料科技有限… ,总账会计, 九龙湖 ,不限,"五险一金,包吃",不限,会计/会计师,3000-5000
 南京信友税务咨询有限公司 ,会计/会计师, 九龙湖 ,不限,,不限,会计/会计师,面议
 南京青春斗企业管理有限公司 ,会计, 九龙湖 ,不限,"五险一金,周末双休",不限,会计/会计师,4000-6000
 南京择贤财务咨询有限公司 ,主办会计, 九龙湖 ,不限,周末双休,6-7年,会计/会计师,5000-6000
 南京欧飞财务咨询有限公司 ,总账会计, 九龙湖 ,不限,"五险一金,周末双休,交通补助,饭补",不限,会计/会计师,4000-6000
 南京青春斗企业管理有限公司 ,核算会计, 九龙湖 ,不限,"五险一金,周末双休",不限,会计/会计师,4000-6000
 南京金拓烟酒有限公司 ,出纳会计, 九龙湖 ,不限,"五险一金,年底双薪,加班补助",1-2年,会计/会计师,3500-6500
 南京爱迪兴人力资源咨询服务有… ,主办会计, 九龙湖 ,不限,"五险一金,周末双休",不限,会计/会计师,3500-3800
 南京市浦口区金阳陶建材营销中心 ,会计, 九龙湖 ,高中,,1-2年,会计/会计师,面议
 南京安弘税务代理有限公司 ,诚招会计高薪, 九龙湖 ,大专,"周末双休,加班补助,五险一金",1-2年,会计/会计师,5000-6000
 南京腾志建筑劳务有限公司 ,急招会计, 九龙湖 ,大专,"交通补助,包住,包吃",1-2年,会计/会计师,面议
 来安县友鹏交通设备有限公司 ,会计, 九龙湖 ,不限,,不限,会计/会计师,面议
 南京太太好家居用品有限公司 ,会计一名, 上坊 ,大专,,不限,会计/会计师,面议
 南京科瑞企业管理咨询有限责任… ,会计, 上坊 ,大专,"五险一金,周末双休",1-2年,会计/会计师,4000-6000
 南京市江宁区兰亭食品销售中心 ,会计（销售开单进销存）, 上坊 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 南京利鑫源塑业有限公司 ,开票会计, 上坊 ,大专,"周末双休,五险一金,饭补",8-10年,会计/会计师,面议
 南京广福贸易有限公司 ,会计/会计师+本科学历, 上坊 ,本科,"五险一金,周末双休,年底双薪",3-5年,会计/会计师,3000-5500
 南京大华眼镜有限责任公司 ,直招会计助理管理会计证, 上坊 ,不限,"五险一金,加班补助,交通补助,包吃,包住",10年以上,会计/会计师,4000-6000
 南京市溧水区严记火龙烧烤店 ,餐饮会计兼人事招聘, 上坊 ,不限,"包吃,包住,加班补助",不限,会计/会计师,面议
 江苏冠德汽车销售有限公司 ,总账会计, 上坊 ,大专,"包吃,年底双薪,饭补",不限,会计/会计师,面议
 南京苏算财税咨询有限公司 ,总账会计, 上坊 ,不限,"五险一金,周末双休",1-2年,会计/会计师,4000-6000
 南京丰浩华食品供应链管理有限… ,财务总监, 上坊 ,本科,"五险一金,包吃,周末双休,话补,交通补助",3-5年,会计/会计师,面议
 南京勤业财务咨询有限公司 ,财务咨询, 上坊 ,本科,"五险一金,周末双休",3-5年,会计/会计师,5000-10000
 南京信平通信科技有限公司 ,招聘会计四千-五千, 上坊 ,不限,"五险一金,年底双薪",不限,会计/会计师,4000-5000
 南京携创餐饮服务有限公司 ,南京艾乐威酒吧诚招会计, 上坊 ,大专,"包吃,包住,饭补",1年以下,会计/会计师,3500-4500
 南京信友税务咨询有限公司 ,会计, 上坊 ,不限,周末双休,不限,会计/会计师,3000-5000
 南京妙哉妙斋健康管理有限公司 ,高薪招会计, 上坊 ,本科,"五险一金,包住,包吃,年底双薪,话补",不限,会计/会计师,5000-6000
 南京小状乐文化艺术培训有限公司 ,会计, 上坊 ,大专,"包吃,饭补,五险一金,加班补助,房补",不限,会计/会计师,5000-8000
 南京百楚水电安装有限公司 ,会计, 上坊 ,大专,,3-5年,会计/会计师,5000-8000
 南京勤业财务咨询有限公司 ,审计师, 上坊 ,本科,"五险一金,周末双休,交通补助,饭补",3-5年,会计/会计师,5000-10000
 马鞍山市春盛食府有限公司 ,南京春盛渔府招聘门店会计, 上坊 ,中专,"包吃,包住",1-2年,会计/会计师,4000-5000
 南京标源财税咨询有限公司 ,财务公司诚聘会计1名, 上坊 ,不限,"包住,年底双薪,周末双休,交通补助,加班补助",不限,会计/会计师,4000-6000
 江苏易承租赁有限公司 ,会计高薪上六休一, 上坊 ,大专,"话补,交通补助,饭补,五险一金",3-5年,会计/会计师,4500-7000
 南京华汇博泰信息科技有限公司 ,直招会计行政人员, 上坊 ,本科,"交通补助,加班补助,话补,周末双休",1-2年,会计/会计师,4500-5000
 南京标源财税咨询有限公司 ,招聘会计专业实习生, 上坊 ,大专,"周末双休,交通补助,饭补,话补",不限,会计/会计师,面议
 江苏广人禾沐供应链有限公司 ,会计, 上坊 ,本科,,不限,会计/会计师,面议
 江苏洁亚智能科技发展有限公司 ,往来会计, 上坊 ,大专,五险一金,1-2年,会计/会计师,3000-5000
 南京沙卡石油化工有限公司 ,年薪12万聘总账会计, 上坊 ,大专,"五险一金,包吃,话补",3-5年,会计/会计师,8000-10000
 南京双日电气有限公司 ,会计, 上坊 ,不限,"五险一金,包吃,包住,周末双休",不限,会计/会计师,3500-5000
 南京中医药大学第二附属医院（… ,三甲医院收费员, 上坊 ,大专,饭补,不限,会计/会计师,3000-5000
 南京德永康纺织科技有限公司 ,会计、电工, 上坊 ,不限,"五险一金,交通补助,饭补,加班补助",1-2年,会计/会计师,面议
 江苏艾德露环保科技有限公司 ,会计, 上坊 ,大专,"五险一金,周末双休,饭补,加班补助",3-5年,会计/会计师,4000-6000
 南京雅克优点商贸有限公司 ,出纳, 上坊 ,不限,"五险一金,年底双薪,话补,交通补助,饭补",不限,会计/会计师,面议
 江苏万帮外汽汽车有限公司 ,奥迪4S店会计/出纳收银, 上坊 ,大专,"五险一金,年底双薪,交通补助,饭补",3-5年,会计/会计师,5000-7000
 南京锦路达建设工程有限公司 ,会计, 上坊 ,大专,"周末双休,交通补助,五险一金,加班补助,饭补",3-5年,会计/会计师,面议
 江苏珠格工程技术有限公司 ,会计, 上坊 ,大专,"周末双休,饭补,五险一金",3-5年,会计/会计师,7000-8000
 南京澳隆物业管理有限公司 ,物业公司诚聘总账会计, 上坊 ,大专,,8-10年,会计/会计师,5000-7000
 江苏洁亚智能科技发展有限公司 ,总账会计, 大行宫 ,大专,五险一金,1-2年,会计/会计师,5000-7000
 南京鼎虎建筑装饰工程有限公司 ,装修公司会计, 大行宫 ,高中,"周末双休,话补,交通补助,饭补",3-5年,会计/会计师,4000-7000
 南京糖玩贸易有限公司 ,招会计1名, 大行宫 ,大专,包吃,1-2年,会计/会计师,4000-6000
 迎客松（南京）装饰材料有限公司 ,诚招会计, 大行宫 ,不限,包吃,不限,会计/会计师,面议
 南京蓝污水处理设备有限公司 ,总账会计, 大行宫 ,不限,,不限,会计/会计师,面议
 南京方平财务服务有限公司 ,总账会计, 大行宫 ,不限,周末双休,不限,会计/会计师,面议
 上海丽章贸易有限公司 ,诚聘商贸会计, 大行宫 ,不限,,10年以上,会计/会计师,面议
 南京传宇汽车服务有限公司 ,会计, 大行宫 ,大专,"年底双薪,五险一金",不限,会计/会计师,面议
 力霸科技（南京）有限公司 ,会计, 大行宫 ,不限,"五险一金,周末双休",1-2年,会计/会计师,面议
 南京椰晖旅行社有限公司 ,会计1年经验, 大行宫 ,大专,"周末双休,交通补助,饭补",1-2年,会计/会计师,3500-4500
 南京满飞贸易有限公司 ,会计出纳, 大行宫 ,不限,,不限,会计/会计师,面议
 南京乐润仪器仪表有限公司 ,主管会计, 大行宫 ,大专,"五险一金,包吃,包住",1-2年,会计/会计师,4000-5500
 南京东宁财务管理咨询有限公司 ,退休总账会计, 大行宫 ,不限,"五险一金,周末双休,交通补助,饭补,话补",不限,会计/会计师,4000-5000
 南京东宁财务管理咨询有限公司 ,总账会计, 大行宫 ,不限,"五险一金,周末双休,交通补助,饭补,话补",不限,会计/会计师,4000-5000
 南京乐润仪器仪表有限公司 ,工业会计五险一金底薪肆仟, 大行宫 ,大专,"五险一金,包吃",1-2年,会计/会计师,4000-5000
 南京青和物业管理有限公司 ,出纳会计, 大行宫 ,大专,"五险一金,周末双休,年底双薪,话补,交通补助",1-2年,会计/会计师,3500-3800
 南京星聚汇娱乐有限公司 ,会计江宁百家湖-周末双休, 大行宫 ,大专,"包吃,包住,年底双薪,加班补助,周末双休",1-2年,会计/会计师,4500-5000
